mukey,FirstOfslopegradwta,FirstOfbrockdepmin,SumOfksat_weight1,SumOfsand_weight1,SumOfsilt_weight1,SumOfclay_weight1,SumOffieldcap_weight1,SumOfwiltpt_weight1,SumOfmaxdepth_weight,texture,texdesc,texcl
281637,20,,21.2775816,58.88959089,32.91011102,8.385481481,19.07432495,8.334034015,99.25,FSL,Fine sandy loam,Fine sandy loam
281638,38,,21.2775816,58.88959089,32.91011102,8.385481481,19.00802512,8.267734078,99.25,FSL,Fine sandy loam,Fine sandy loam
281640,11,,10.01031308,70.49671769,23.0137806,6.4895,17.74071454,6.938253352,98.15,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
281641,20,,10.01031308,70.49671769,23.0137806,6.4895,17.74071454,6.938253352,98.15,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
281642,43,,10.01031308,70.49671769,23.0137806,6.4895,17.72031456,6.917853347,98.15,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
281644,20,43,10.55796465,60.16368217,23.64615175,6.190163934,18.80189926,7.473976588,51.55,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
281646,47.70000076,43,10.55796465,60.16368217,23.64615175,6.190163934,18.80069927,7.472776588,51.55,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
281957,1.899999976,,69.78688791,70.84035,27.4545,3.04515,11.28954964,3.439999956,100,LFS,Loamy fine sand,Loamy fine sand
281958,5,,77.40147999,72.82769001,27.36755001,2.914759999,11.18046963,3.373139957,100,LFS,Loamy fine sand,Loamy fine sand
281959,5,,23.09187,65.2939,32.39254286,2.088557143,11.50645292,3.973779537,98.89,GR-LS,Gravelly loamy sand,Loamy sand
281960,12,,22.465555,65.0415,32.68209048,2.163909524,11.31361387,4.017962709,98.52,GR-LS,Gravelly loamy sand,Loamy sand
281961,20,,21.72960156,64.8243,33.01039048,2.165309524,10.98292387,3.973352708,98.52,GR-LS,Gravelly loamy sand,Loamy sand
281962,10.30000019,41,15.08571608,59.41720274,30.30900076,5.273795732,20.02677863,10.14152913,53.01,CBV-FSL,Very cobbly fine sandy loam,Fine sandy loam
281963,18.89999962,41,15.87393463,59.28252838,30.44773756,5.269733232,19.38937114,10.11091058,52.37,CBV-FSL,Very cobbly fine sandy loam,Fine sandy loam
281964,38,41,14.13141024,59.84251876,29.78514797,5.372332317,17.12665328,9.204859176,53.35,CBV-FSL,Very cobbly fine sandy loam,Fine sandy loam
