LandisData	Dynamic Input Data				
					
>>Year	Ecoregion	Species	ProbEst	MaxANPP	MaxB
>>____	_________	_______	_______	_______	____
0	22	FRAXAMER	0.007	665	19960
0	22	LARILARI	0.899	40	1200
0	22	PICEMARI	0.935	188	5640
0	22	PICERUBE	0.029	191	5740
0	22	PINURESI	0.245	151	4520
0	22	PINUSTRO	0.134	566	16980
0	22	POPUGRAN	0.112	844	25320
0	22	POPUTREM	0.611	677	20310
0	22	PRUNSERO	0.026	831	24920
0	22	QUERRUBR	0.203	628	18850
0	22	SORBAMER	0.83	335	10060
0	22	TILIAMER	0.014	1026	30770
0	22	TSUGCANA	0.148	288	8630
0	23	ABIEBALS	0.787	297	8920
0	23	ACERPENS	0.026	720	21610
0	23	ACERRUBR	0.017	592	17770
0	23	ACERSACC	0.066	793	23780
0	23	BETUALLE	0.208	727	21820
0	23	BETUPAPY	0.885	770	23100
0	23	FAGUGRAN	0.001	658	19750
0	23	FRAXAMER	0.002	683	20480
0	23	LARILARI	0.864	41	1230
0	23	PICEMARI	0.865	183	5500
0	23	PICERUBE	0.026	186	5570
0	23	PINURESI	0.38	162	4850
0	23	PINUSTRO	0.2	577	17310
0	23	POPUGRAN	0.153	865	25950
0	23	POPUTREM	0.638	696	20880
0	23	PRUNSERO	0.034	851	25540
0	23	QUERRUBR	0.27	646	19370
0	23	SORBAMER	0.823	325	9760
0	23	TILIAMER	0.011	1048	31450
0	23	TSUGCANA	0.176	281	8420
0	24	ABIEBALS	0.747	326	9780
0	24	ACERPENS	0	679	20380
0	24	ACERRUBR	0.002	549	16460
0	24	ACERSACC	0.01	740	22200
0	24	BETUALLE	0.057	679	20360
0	24	BETUPAPY	0.88	717	21510
0	24	FAGUGRAN	0	614	18430
0	24	FRAXAMER	0	634	19010
0	24	LARILARI	0.862	38	1130
0	24	PICEMARI	0.958	201	6020
0	24	PICERUBE	0	204	6110
0	24	PINURESI	0.106	135	4060
0	24	PINUSTRO	0.053	550	16510
0	24	POPUGRAN	0.04	808	24250
0	24	POPUTREM	0.485	645	19350
0	24	PRUNSERO	0.003	796	23870
0	24	QUERRUBR	0.107	600	17990
0	24	SORBAMER	0.759	355	10660
0	24	TILIAMER	0	988	29630
0	24	TSUGCANA	0.058	305	9160
1	1	ABIEBALS	0.834	255	7650
1	1	ACERPENS	0.121	791	7910
1	1	ACERRUBR	0.094	668	20040
1	1	ACERSACC	0.276	884	26520
1	1	BETUALLE	0.498	811	24330
1	1	BETUPAPY	0.873	863	25890
1	1	FAGUGRAN	0.032	735	22050
1	1	FRAXAMER	0.066	769	23070
1	1	LARILARI	0.930	47	1410
1	1	PICEMARI	0.755	160	4800
1	1	PICERUBE	0.121	165	4950
1	1	PINURESI	0.656	206	6180
1	1	PINUSTRO	0.441	622	18660
1	1	POPUGRAN	0.385	963	28890
1	1	POPUTREM	0.838	785	23550
1	1	PRUNSERO	0.118	948	28440
1	1	QUERRUBR	0.474	733	21990
1	1	SORBAMER	0.878	268	8040
1	1	TILIAMER	0.111	1152	34560
1	1	TSUGCANA	0.346	247	7410
1	2	ABIEBALS	0.921	266	7980
1	2	ACERPENS	0.148	789	7890
1	2	ACERRUBR	0.120	665	19950
1	2	ACERSACC	0.341	880	26400
1	2	BETUALLE	0.565	808	24240
1	2	BETUPAPY	0.894	859	25770
1	2	FAGUGRAN	0.048	732	21960
1	2	FRAXAMER	0.050	765	22950
1	2	LARILARI	0.983	47	1410
1	2	PICEMARI	0.756	163	4890
1	2	PICERUBE	0.148	168	5040
1	2	PINURESI	0.789	204	6120
1	2	PINUSTRO	0.525	623	18690
1	2	POPUGRAN	0.439	958	28740
1	2	POPUTREM	0.866	781	23430
1	2	PRUNSERO	0.142	944	28320
1	2	QUERRUBR	0.560	729	21870
1	2	SORBAMER	0.921	274	8220
1	2	TILIAMER	0.150	1149	34470
1	2	TSUGCANA	0.372	251	7530
1	3	ABIEBALS	0.775	285	8550
1	3	ACERPENS	0.150	770	7700
1	3	ACERRUBR	0.067	644	19320
1	3	ACERSACC	0.213	855	25650
1	3	BETUALLE	0.398	785	23550
1	3	BETUPAPY	0.842	833	24990
1	3	FAGUGRAN	0.032	711	21330
1	3	FRAXAMER	0.036	741	22230
1	3	LARILARI	0.866	47	1410
1	3	PICEMARI	0.759	175	5250
1	3	PICERUBE	0.150	180	5400
1	3	PINURESI	0.568	185	5550
1	3	PINUSTRO	0.344	609	18270
1	3	POPUGRAN	0.303	931	27930
1	3	POPUTREM	0.738	756	22680
1	3	PRUNSERO	0.079	918	27540
1	3	QUERRUBR	0.382	704	21120
1	3	SORBAMER	0.813	296	8880
1	3	TILIAMER	0.053	1122	33660
1	3	TSUGCANA	0.240	268	8040
1	4	ABIEBALS	0.820	304	9120
1	4	ACERPENS	0.003	749	7490
1	4	ACERRUBR	0.014	620	18600
1	4	ACERSACC	0.053	827	24810
1	4	BETUALLE	0.171	759	22770
1	4	BETUPAPY	0.948	805	24150
1	4	FAGUGRAN	0.000	688	0
1	4	FRAXAMER	0.006	715	21450
1	4	LARILARI	0.926	45	1350
1	4	PICEMARI	0.932	187	5610
1	4	PICERUBE	0.003	192	5760
1	4	PINURESI	0.369	169	5070
1	4	PINUSTRO	0.200	588	17640
1	4	POPUGRAN	0.127	903	27090
1	4	POPUTREM	0.667	729	21870
1	4	PRUNSERO	0.017	888	26640
1	4	QUERRUBR	0.273	679	20370
1	4	SORBAMER	0.838	319	9570
1	4	TILIAMER	0.004	1090	32700
1	4	TSUGCANA	0.128	285	8550
1	5	ABIEBALS	0.916	238	7140
1	5	ACERPENS	0.072	799	7990
1	5	ACERRUBR	0.121	676	20280
1	5	ACERSACC	0.342	894	26820
1	5	BETUALLE	0.533	820	24600
1	5	BETUPAPY	0.865	872	26160
1	5	FAGUGRAN	0.022	743	22290
1	5	FRAXAMER	0.038	778	23340
1	5	LARILARI	0.952	42	1260
1	5	PICEMARI	0.721	146	4380
1	5	PICERUBE	0.072	150	4500
1	5	PINURESI	0.718	217	6510
1	5	PINUSTRO	0.491	623	18690
1	5	POPUGRAN	0.434	972	29160
1	5	POPUTREM	0.844	794	23820
1	5	PRUNSERO	0.127	958	28740
1	5	QUERRUBR	0.522	742	22260
1	5	SORBAMER	0.944	242	7260
1	5	TILIAMER	0.131	1162	34860
1	5	TSUGCANA	0.329	225	6750
1	6	ABIEBALS	0.961	241	7230
1	6	ACERPENS	0.161	803	8030
1	6	ACERRUBR	0.151	679	20370
1	6	ACERSACC	0.417	897	26910
1	6	BETUALLE	0.642	823	24690
1	6	BETUPAPY	0.823	876	26280
1	6	FAGUGRAN	0.033	746	22380
1	6	FRAXAMER	0.068	781	23430
1	6	LARILARI	0.977	33	990
1	6	PICEMARI	0.653	148	4440
1	6	PICERUBE	0.161	153	4590
1	6	PINURESI	0.802	228	6840
1	6	PINUSTRO	0.568	625	18750
1	6	POPUGRAN	0.509	976	29280
1	6	POPUTREM	0.913	798	23940
1	6	PRUNSERO	0.202	962	28860
1	6	QUERRUBR	0.588	744	22320
1	6	SORBAMER	0.964	235	7050
1	6	TILIAMER	0.220	1167	35010
1	6	TSUGCANA	0.481	228	6840
1	7	ABIEBALS	0.821	252	7560
1	7	ACERPENS	0.114	795	7950
1	7	ACERRUBR	0.110	673	20190
1	7	ACERSACC	0.312	889	26670
1	7	BETUALLE	0.497	816	24480
1	7	BETUPAPY	0.834	868	26040
1	7	FAGUGRAN	0.024	740	22200
1	7	FRAXAMER	0.046	774	23220
1	7	LARILARI	0.906	46	1380
1	7	PICEMARI	0.724	155	4650
1	7	PICERUBE	0.114	160	4800
1	7	PINURESI	0.651	211	6330
1	7	PINUSTRO	0.434	623	18690
1	7	POPUGRAN	0.398	968	29040
1	7	POPUTREM	0.799	790	23700
1	7	PRUNSERO	0.138	954	28620
1	7	QUERRUBR	0.463	737	22110
1	7	SORBAMER	0.847	259	7770
1	7	TILIAMER	0.138	1157	34710
1	7	TSUGCANA	0.362	239	7170
1	8	ABIEBALS	0.881	269	8070
1	8	ACERPENS	0.062	786	7860
1	8	ACERRUBR	0.040	662	19860
1	8	ACERSACC	0.151	877	26310
1	8	BETUALLE	0.348	804	24120
1	8	BETUPAPY	0.906	855	25650
1	8	FAGUGRAN	0.008	729	21870
1	8	FRAXAMER	0.026	761	22830
1	8	LARILARI	0.911	47	1410
1	8	PICEMARI	0.824	165	4950
1	8	PICERUBE	0.062	170	5100
1	8	PINURESI	0.537	201	6030
1	8	PINUSTRO	0.310	621	18630
1	8	POPUGRAN	0.254	954	28620
1	8	POPUTREM	0.762	777	23310
1	8	PRUNSERO	0.086	940	28200
1	8	QUERRUBR	0.334	725	21750
1	8	SORBAMER	0.912	278	8340
1	8	TILIAMER	0.009	1145	34350
1	8	TSUGCANA	0.265	254	7620
1	9	ABIEBALS	0.813	317	9510
1	9	ACERPENS	0.016	722	7220
1	9	ACERRUBR	0.027	593	17790
1	9	ACERSACC	0.097	792	23760
1	9	BETUALLE	0.266	727	21810
1	9	BETUPAPY	0.957	770	23100
1	9	FAGUGRAN	0.002	659	19770
1	9	FRAXAMER	0.008	682	20460
1	9	LARILARI	0.947	41	1230
1	9	PICEMARI	0.915	195	5850
1	9	PICERUBE	0.016	200	6000
1	9	PINURESI	0.395	155	4650
1	9	PINUSTRO	0.212	580	17400
1	9	POPUGRAN	0.192	865	25950
1	9	POPUTREM	0.705	696	20880
1	9	PRUNSERO	0.041	851	25530
1	9	QUERRUBR	0.266	646	19380
1	9	SORBAMER	0.819	329	9870
1	9	TILIAMER	0.002	1049	31470
1	9	TSUGCANA	0.197	297	8910
1	10	ABIEBALS	0.669	343	10290
1	10	ACERPENS	0.000	687	0
1	10	ACERRUBR	0.000	553	0
1	10	ACERSACC	0.005	746	22380
1	10	BETUALLE	0.032	685	20550
1	10	BETUPAPY	0.828	724	21720
1	10	FAGUGRAN	0.000	621	0
1	10	FRAXAMER	0.000	639	0
1	10	LARILARI	0.809	38	1140
